best_program,fitness,raw_fitness,program_length,seed
"div(mul(0.693, mul(X0, X1)), add(add(0.030, add(0.035, mul(X0, X1))), div(0.770, 0.292)))",0.002569459355347879,0.0008694593553478787,17,93
"div(mul(X0, X1), sub(mul(X1, X0), add(0.134, div(0.204, -0.048))))",0.0017585247500194001,0.00045852475001939997,13,32
"div(mul(mul(X0, X1), 0.245), add(mul(X1, mul(X0, 0.248)), div(X0, X0)))",0.0019353527832240973,0.00043535278322409725,15,64
"mul(mul(X1, -0.244), sub(mul(mul(mul(X1, -0.244), sub(mul(X1, mul(mul(mul(X0, 0.224), X0), X0)), X0)), X0), X0))",0.0026860277312046625,0.0003860277312046626,23,66
"mul(mul(0.246, sub(div(-0.792, -0.796), mul(mul(0.246, sub(div(-0.792, -0.796), mul(X1, mul(X0, mul(X0, 0.224))))), mul(X0, X1)))), mul(X0, X1))",0.0030763511278411614,0.0003763511278411612,27,23
"div(0.999, sub(0.999, div(div(div(0.981, X0), X1), -0.239)))",0.0017352268110448035,0.0006352268110448034,11,61
"div(div(X0, div(0.150, 0.036)), add(mul(0.223, X0), div(0.988, X1)))",0.0019465632754424047,0.0006465632754424046,13,56
"mul(mul(0.244, X0), sub(X1, mul(mul(mul(0.244, X0), sub(X1, mul(mul(X0, mul(mul(0.244, X0), sub(X1, mul(mul(X0, mul(0.222, X1)), X1)))), X1))), X1)))",0.0034508482675295778,0.0003508482675295774,31,34
"mul(mul(0.241, X1), sub(X0, mul(X0, mul(mul(0.241, X1), sub(X0, mul(0.206, sub(X0, mul(X0, mul(0.206, mul(X1, X0))))))))))",0.003016069385867307,0.0005160693858673069,25,73
"div(X0, sub(X0, div(add(div(0.712, X1), div(0.054, add(0.073, X1))), -0.185)))",0.0018252931445426016,0.0003252931445426015,15,57
"mul(mul(0.237, mul(X0, X1)), sub(div(-0.794, -0.771), mul(mul(X1, X0), 0.226)))",0.001894495168777919,0.0003944951687779192,15,74
"div(mul(0.220, X1), add(div(0.891, X0), mul(X1, 0.251)))",0.0015524271352075486,0.00045242713520754843,11,65
"mul(X1, div(0.247, add(div(div(X1, X0), X1), mul(0.269, X1))))",0.0017932672938608895,0.0004932672938608894,13,11
